BEL;Belgium;W1112
DEU;Germany;W1112
ESP;Spain;W1113
FRA;France;W1112
GBR;United Kingdom;W1111
GRC;Greece;W1113
IRL;Ireland;W1111
ITA;Italy;W1113
W1111;W1111;W111
W1112;W1112;W111
W1113;W1113;W111
W111;World;NULL
