"RATE";"AGG1";"AGG2";"VALUE";"INFORMATION_LOSS";"SIZE_REDUCTION"
0;"0";"0";8;0;0
0;"1";"0";4;0;0
0;"2";"0";2;0;0
0;"3";"0";2;0;0
0;"4";"0";1;0;0
0;"5";"0";1;0;0
0;"6";"0";1;0;0
0;"7";"0";1;0;0
0;"0";"1";4;0;0
0;"1";"1";8;0;0
0;"2";"1";2;0;0
0;"3";"1";2;0;0
0;"4";"1";1;0;0
0;"5";"1";1;0;0
0;"6";"1";1;0;0
0;"7";"1";1;0;0
0;"0";"2";2;0;0
0;"1";"2";2;0;0
0;"2";"2";8;0;0
0;"3";"2";4;0;0
0;"4";"2";1;0;0
0;"5";"2";1;0;0
0;"6";"2";1;0;0
0;"7";"2";1;0;0
0;"0";"3";2;0;0
0;"1";"3";2;0;0
0;"2";"3";4;0;0
0;"3";"3";8;0;0
0;"4";"3";1;0;0
0;"5";"3";1;0;0
0;"6";"3";1;0;0
0;"7";"3";1;0;0
0;"0";"4";1;0;0
0;"1";"4";1;0;0
0;"2";"4";1;0;0
0;"3";"4";1;0;0
0;"4";"4";8;0;0
0;"5";"4";4;0;0
0;"6";"4";2;0;0
0;"7";"4";2;0;0
0;"0";"5";1;0;0
0;"1";"5";1;0;0
0;"2";"5";1;0;0
0;"3";"5";1;0;0
0;"4";"5";4;0;0
0;"5";"5";8;0;0
0;"6";"5";2;0;0
0;"7";"5";2;0;0
0;"0";"6";1;0;0
0;"1";"6";1;0;0
0;"2";"6";1;0;0
0;"3";"6";1;0;0
0;"4";"6";2;0;0
0;"5";"6";2;0;0
0;"6";"6";8;0;0
0;"7";"6";4;0;0
0;"0";"7";1;0;0
0;"1";"7";1;0;0
0;"2";"7";1;0;0
0;"3";"7";1;0;0
0;"4";"7";2;0;0
0;"5";"7";2;0;0
0;"6";"7";4;0;0
0;"7";"7";8;0;0
6.103515625e-05;"0";"0";8;0;0
6.103515625e-05;"1";"0";4;0;0
6.103515625e-05;"0";"1";4;0;0
6.103515625e-05;"1";"1";8;0;0
6.103515625e-05;"2,3";"0,1";8;0;0.0476190476190476
6.103515625e-05;"0,1";"2,3";8;0;0.0476190476190476
6.103515625e-05;"2";"2";8;0;0
6.103515625e-05;"2";"3";4;0;0
6.103515625e-05;"3";"2";4;0;0
6.103515625e-05;"3";"3";8;0;0
6.103515625e-05;"4,5,6,7";"0,1,2,3";16;-0;0.238095238095238
6.103515625e-05;"0,1,2,3";"4,5,6,7";16;-0;0.238095238095238
6.103515625e-05;"4";"4";8;0;0
6.103515625e-05;"5";"4";4;0;0
6.103515625e-05;"4";"5";4;0;0
6.103515625e-05;"5";"5";8;0;0
6.103515625e-05;"4,5";"6,7";8;0;0.0476190476190476
6.103515625e-05;"6,7";"4,5";8;0;0.0476190476190476
6.103515625e-05;"6";"6";8;0;0
6.103515625e-05;"7";"6";4;0;0
6.103515625e-05;"6";"7";4;0;0
6.103515625e-05;"7";"7";8;0;0
0.3499755859375;"0,1";"0,1";24;0.0256355262895841;0.0476190476190476
0.3499755859375;"2,3";"0,1";8;0;0.0476190476190476
0.3499755859375;"0,1";"2,3";8;0;0.0476190476190476
0.3499755859375;"2,3";"2,3";24;0.0256355262895841;0.0476190476190476
0.3499755859375;"4,5,6,7";"0,1,2,3";16;-0;0.238095238095238
0.3499755859375;"0,1,2,3";"4,5,6,7";16;-0;0.238095238095238
0.3499755859375;"4,5";"4,5";24;0.0256355262895841;0.0476190476190476
0.3499755859375;"4,5";"6,7";8;0;0.0476190476190476
0.3499755859375;"6,7";"4,5";8;0;0.0476190476190476
0.3499755859375;"6,7";"6,7";24;0.0256355262895841;0.0476190476190476
0.69134521484375;"0,1";"0,1";24;0.0256355262895841;0.0476190476190476
0.69134521484375;"2,3,4,5,6,7";"0,1";16;0.017771908328547;0.174603174603175
0.69134521484375;"2,3";"2,3";24;0.0256355262895841;0.0476190476190476
0.69134521484375;"0,1,4,5,6,7";"2,3";16;0.017771908328547;0.174603174603175
0.69134521484375;"4,5";"4,5";24;0.0256355262895841;0.0476190476190476
0.69134521484375;"0,1,2,3,6,7";"4,5";16;0.017771908328547;0.174603174603175
0.69134521484375;"0,1,2,3,4,5";"6,7";16;0.017771908328547;0.174603174603175
0.69134521484375;"6,7";"6,7";24;0.0256355262895841;0.0476190476190476
0.79400634765625;"0,1,2,3";"0,1,2,3";64;0.209173555129618;0.238095238095238
0.79400634765625;"4,5,6,7";"0,1,2,3";16;-0;0.238095238095238
0.79400634765625;"0,1,2,3";"4,5,6,7";16;-0;0.238095238095238
0.79400634765625;"4,5,6,7";"4,5,6,7";64;0.209173555129618;0.238095238095238
0.92437744140625;"0,1,2,3,4,5,6,7";"0,1,2,3,4,5,6,7";160;1;1
