"RATE";"AGG1";"AGG2";"VALUE";"INFORMATION_LOSS";"SIZE_REDUCTION"
0;"0";"0";5;0;0
0;"1";"0";4;0;0
0;"2";"0";3;0;0
0;"3";"0";3;0;0
0;"4";"0";2;0;0
0;"5";"0";2;0;0
0;"6";"0";2;0;0
0;"7";"0";2;0;0
0;"0";"1";6;0;0
0;"1";"1";5;0;0
0;"2";"1";3;0;0
0;"3";"1";3;0;0
0;"4";"1";2;0;0
0;"5";"1";2;0;0
0;"6";"1";2;0;0
0;"7";"1";2;0;0
0;"0";"2";7;0;0
0;"1";"2";7;0;0
0;"2";"2";5;0;0
0;"3";"2";4;0;0
0;"4";"2";2;0;0
0;"5";"2";2;0;0
0;"6";"2";2;0;0
0;"7";"2";2;0;0
0;"0";"3";7;0;0
0;"1";"3";7;0;0
0;"2";"3";6;0;0
0;"3";"3";5;0;0
0;"4";"3";2;0;0
0;"5";"3";2;0;0
0;"6";"3";2;0;0
0;"7";"3";2;0;0
0;"0";"4";8;0;0
0;"1";"4";8;0;0
0;"2";"4";8;0;0
0;"3";"4";8;0;0
0;"4";"4";5;0;0
0;"5";"4";4;0;0
0;"6";"4";3;0;0
0;"7";"4";3;0;0
0;"0";"5";8;0;0
0;"1";"5";8;0;0
0;"2";"5";8;0;0
0;"3";"5";8;0;0
0;"4";"5";6;0;0
0;"5";"5";5;0;0
0;"6";"5";3;0;0
0;"7";"5";3;0;0
0;"0";"6";8;0;0
0;"1";"6";8;0;0
0;"2";"6";8;0;0
0;"3";"6";8;0;0
0;"4";"6";7;0;0
0;"5";"6";7;0;0
0;"6";"6";5;0;0
0;"7";"6";4;0;0
0;"0";"7";8;0;0
0;"1";"7";8;0;0
0;"2";"7";8;0;0
0;"3";"7";8;0;0
0;"4";"7";7;0;0
0;"5";"7";7;0;0
0;"6";"7";6;0;0
0;"7";"7";5;0;0
6.103515625e-05;"0";"0";5;0;0
6.103515625e-05;"1";"0";4;0;0
6.103515625e-05;"0";"1";6;0;0
6.103515625e-05;"1";"1";5;0;0
6.103515625e-05;"2,3";"0,1";12;0;0.0476190476190476
6.103515625e-05;"0,1";"2,3";28;0;0.0476190476190476
6.103515625e-05;"2";"2";5;0;0
6.103515625e-05;"2";"3";6;0;0
6.103515625e-05;"3";"2";4;0;0
6.103515625e-05;"3";"3";5;0;0
6.103515625e-05;"4,5,6,7";"0,1,2,3";32;0;0.238095238095238
6.103515625e-05;"0,1,2,3";"4,5,6,7";128;0;0.238095238095238
6.103515625e-05;"4";"4";5;0;0
6.103515625e-05;"5";"4";4;0;0
6.103515625e-05;"4";"5";6;0;0
6.103515625e-05;"5";"5";5;0;0
6.103515625e-05;"4,5";"6,7";28;0;0.0476190476190476
6.103515625e-05;"6,7";"4,5";12;0;0.0476190476190476
6.103515625e-05;"6";"6";5;0;0
6.103515625e-05;"7";"6";4;0;0
6.103515625e-05;"6";"7";6;0;0
6.103515625e-05;"7";"7";5;0;0
0.06982421875;"0";"0";5;0;0
0.06982421875;"1";"0";4;0;0
0.06982421875;"0,1";"1";11;0.00119070579828199;0.0158730158730159
0.06982421875;"2,3";"0,1";12;0;0.0476190476190476
0.06982421875;"0,1";"2,3";28;0;0.0476190476190476
0.06982421875;"2";"2,3";11;0.00119070579828199;0.0158730158730159
0.06982421875;"3";"2";4;0;0
0.06982421875;"3";"3";5;0;0
0.06982421875;"4,5,6,7";"0,1,2,3";32;0;0.238095238095238
0.06982421875;"0,1,2,3";"4,5,6,7";128;0;0.238095238095238
0.06982421875;"4";"4";5;0;0
0.06982421875;"5";"4";4;0;0
0.06982421875;"4,5";"5";11;0.00119070579828199;0.0158730158730159
0.06982421875;"4,5";"6,7";28;0;0.0476190476190476
0.06982421875;"6,7";"4,5";12;0;0.0476190476190476
0.06982421875;"6";"6";5;0;0
0.06982421875;"7";"6";4;0;0
0.06982421875;"6,7";"7";11;0.00119070579828199;0.0158730158730159
0.08404541015625;"0,1";"0";9;0.00145630384298923;0.0158730158730159
0.08404541015625;"0,1";"1";11;0.00119070579828199;0.0158730158730159
0.08404541015625;"2,3";"0,1";12;0;0.0476190476190476
0.08404541015625;"0,1";"2,3";28;0;0.0476190476190476
0.08404541015625;"2";"2,3";11;0.00119070579828199;0.0158730158730159
0.08404541015625;"3";"2,3";9;0.00145630384298923;0.0158730158730159
0.08404541015625;"4,5,6,7";"0,1,2,3";32;0;0.238095238095238
0.08404541015625;"0,1,2,3";"4,5,6,7";128;0;0.238095238095238
0.08404541015625;"4,5";"4";9;0.00145630384298923;0.0158730158730159
0.08404541015625;"4,5";"5";11;0.00119070579828199;0.0158730158730159
0.08404541015625;"4,5";"6,7";28;0;0.0476190476190476
