3
media;time;space
3;3;3
en_NZL_nzhera_int;en_SGP_twoday_int;en_GBR_guardi_int
2015-03-16;2014-07-14;2015-06-22
USA;UKR;RUS
data
223.833333333333;36.9166666666667;97.3333333333333;203.5;24.25;57.5;235.5;35.4166666666667;178.5;13.1666666666667;27.8333333333333;7.5;46;77;29.6666666666667;4.58333333333333;7.83333333333333;1;33;44.75;17;43;49.75;53.5;17.9166666666667;20.6666666666667;14.8333333333333
