W11;Europe & Northern Asia;W1
W12;Western Asia & Northern Africa;W1
W13;Sub-Saharain Africa;W1
W21;Northern America;W2
W22;Latin America;W2
W31;Southern and Eastern Asia;W3
W32;Western Pacifica;W3
W1;Euro-Africa;W
W2;The Americas;W
W3;Asia-Pacifica;W
W;World;NULL
