2
time;space
3;3
2014-04-28;2014-05-05;2014-05-12
USA;UKR;RUS
107.416666666667;78.6666666666667;79.1666666666667;55.75;31.3333333333333;13.8333333333333;34.5833333333333;20.3333333333333;5.33333333333333
