3
media;time;space
3;3;3
en_NZL_nzhera_int;en_MYS_starmy_int;en_GBR_guardi_int
2014-04-28;2014-05-05;2014-05-12
USA;UKR;RUS
97.4066185845896;67.1456290776437;56.4958387790619;110.524043220648;75.3277850387493;47.4045543778336;93.1207273668676;72.9900261927191;53.8983289501396;37.634757548179;25.9428928698781;21.8281593779438;42.7029048980005;29.1042125039251;18.3155820067805;35.9788282160591;28.2009783227688;20.8245658433257;33.8057032459964;23.3033981042402;19.6073078826779;38.3582046164572;26.1430771769039;16.4521089130516;32.3182523031725;25.331740299;18.7058224627847
