3
media;time;space
3;3;3
en_NZL_nzhera_int;en_MYS_starmy_int;en_GBR_guardi_int
2014-04-28;2014-05-05;2014-05-12
USA;UKR;RUS
116.689250225836;80.4377898223427;67.6797651309846;97.4466674765144;66.4148850016197;41.7955741820538;81.1895788141721;63.6381356953483;46.9925735116896;94.0943992773261;64.8624059018368;54.5747515808491;97.0279903628118;66.1295351473923;41.6160005668934;55.0084508315257;43.1168052542781;31.8389220294047;63.5614272809395;43.8150105389943;36.8656278229449;54.9483560090703;37.4501133786848;23.5677437641723;26.0407176428055;20.4112738009159;15.0723818992528
